team_id,school,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
124,Mississippi State,0,22.1884765625,1,9,0,0,3.01,-6.17,-3.15,47.85,13.25,10.12,5.98,5.84,3.52,7.83,4.45
125,Mississippi Valley State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Missouri State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Missouri,0,30.28662109375,9,2,0,0,0.78,8.17,8.95,47.93,0.85,8.84,5.04,5.88,2.62,7.16,3.8
128,Monmouth,0,22.5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Montana,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Montana State,0,17.5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Morehead State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Morgan State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Murray State,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,North Carolina State,0,29.4453125,2,6,0,0,5.33,-4.23,1.1,46.92,14.69,9.68,5.8,5.79,3.55,7.64,4.65
135,Navy,0,23.98828125,6,2,0,0,4.03,2.35,6.38,45.56,9.52,10.92,5.56,6.52,3.18,7.57,4.43
136,Nebraska,0,12.515625,3,4,0,0,0.11,8.11,8.22,41.97,1.89,8.97,5.23,5.23,2.25,7.04,3.66
137,Nevada,0,17.0,1,4,0,0,-2.32,-4.9,-7.22,37.74,15.08,9.18,5.77,5.82,4.24,7.23,4.87
138,New Hampshire,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,New Mexico,0,31.50390625,1,7,0,0,6.12,-17.45,-11.33,44.51,28.62,8.49,7.12,7.37,4.74,7.87,5.88
140,New Mexico State,0,12.453125,0,8,0,0,-7.66,-9.96,-17.62,31.43,26.44,6.65,6.61,4.97,4.48,5.74,5.4
141,Nicholls,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Norfolk State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,North Alabama,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,North Carolina A&T,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,North Carolina Central,0,5.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,North Carolina,0,27.203125,5,4,0,0,6.76,-3.46,3.3,49.04,13.12,9.31,6.38,6.32,3.02,7.61,4.45
147,North Dakota,0,1.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,North Dakota State,0,13.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,North Texas,0,28.89453125,4,4,0,0,5.17,-8.7,-3.53,44.93,20.96,8.72,6.41,6.55,3.62,7.62,5.03
150,Northern Arizona,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Northern Colorado,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Northern Illinois,0,21.5625,5,1,0,0,-4.27,5.07,0.81,35.22,5.76,7.48,4.73,5.6,2.57,6.41,3.53
153,Northern Iowa,0,1.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Northwestern State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Northwestern,0,18.896484375,2,8,0,0,-3.32,1.16,-2.16,37.66,9.35,8.3,5.03,4.97,2.64,6.63,3.85
156,Notre Dame,0,41.349609375,9,0,0,0,9.34,11.93,21.28,59.7,-2.79,9.14,3.37,7.86,2.09,8.37,2.84
157,Ohio,0,39.296875,6,1,0,0,-1.43,4.93,3.5,38.74,7.67,8.6,5.49,5.91,2.66,6.98,4.0
158,Ohio State,0,35.4765625,10,0,0,0,5.99,15.26,21.25,54.6,-6.68,11.05,3.7,6.66,1.39,8.67,2.37
159,Oklahoma,0,28.88671875,4,4,0,0,2.15,4.98,7.13,47.9,1.18,8.66,4.77,5.82,1.44,6.95,3.0
160,Oklahoma State,0,16.349609375,1,8,0,0,0.74,-5.34,-4.6,42.87,17.04,8.8,6.43,5.29,4.21,7.18,5.15
161,Old Dominion,0,35.66796875,2,6,0,0,2.0,-1.38,0.62,43.02,11.81,8.5,6.12,6.28,3.11,7.24,4.42
162,Ole Miss,1,0.0,0,0,0,0,3.76,12.41,16.17,56.08,-4.36,12.18,4.74,6.01,1.12,8.86,2.83
