game_id,Team,Opponent,Result,HomeTeamAdvantage,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1607,111,93,0,1,0,27.285714285714285,4,3,0.75,0.3333333333333333,-2.58,-3.32,-5.91,36.4,15.34,8.27,5.49,5.07,3.2,6.52,4.34
1612,174,223,1,0,1,34.0,4,3,0.75,0.3333333333333333,1.1,-5.04,-3.94,42.55,15.71,8.7,6.24,4.98,3.26,6.88,4.62
1613,223,174,0,1,1,23.714285714285715,3,4,0.5,0.3333333333333333,-4.15,-4.08,-8.23,36.65,20.57,8.69,7.48,5.09,3.8,6.52,5.5
1614,179,208,1,0,0,36.42857142857143,5,2,1.0,0.5,1.04,6.37,7.41,50.05,5.32,9.37,4.8,5.21,2.53,7.11,3.58
1615,208,179,0,1,0,19.125,2,6,0.4,0.0,-7.69,-6.71,-14.4,31.95,22.03,7.69,7.73,4.37,3.65,6.31,5.25
1618,2,135,1,0,0,34.142857142857146,7,0,1.0,1.0,-1.51,4.75,3.25,39.95,7.21,11.89,5.71,5.97,2.27,6.77,3.97
1619,135,2,0,1,0,18.285714285714285,3,4,0.5,0.3333333333333333,-9.97,4.15,-5.82,29.27,9.08,7.53,6.31,5.12,2.61,5.82,4.47
1620,3,22,0,0,0,15.375,1,7,0.3333333333333333,0.0,-11.93,-6.71,-18.64,26.25,20.54,6.37,6.18,3.64,3.38,5.14,4.65
1621,22,3,1,1,0,22.25,4,4,0.6666666666666666,0.4,-0.73,-1.32,-2.04,38.38,13.53,8.12,5.89,5.1,3.1,6.4,4.44
1622,5,211,1,1,0,30.625,7,1,0.8,1.0,8.41,9.75,18.16,52.89,-1.54,11.5,4.08,5.88,2.19,7.88,3.15
1623,211,5,0,0,0,31.571428571428573,5,2,1.0,0.3333333333333333,3.89,6.81,10.69,49.81,3.79,9.77,4.97,6.93,2.18,8.15,3.55
1626,8,161,0,0,0,32.42857142857143,3,4,0.6666666666666666,0.25,7.47,-4.33,3.14,46.31,16.0,9.36,5.48,5.79,3.97,7.37,4.72
1627,161,8,1,1,1,24.142857142857142,4,3,0.75,0.3333333333333333,-2.68,-1.69,-4.37,34.88,12.94,8.26,5.64,5.14,2.3,6.42,3.9
1628,9,247,0,0,1,17.0,1,6,0.2,0.0,-6.01,2.03,-3.98,34.9,11.55,7.73,5.35,4.9,3.06,6.35,4.08
1629,247,9,1,1,0,40.142857142857146,7,0,1.0,1.0,13.35,4.54,17.89,55.44,3.83,11.0,4.14,5.85,3.24,8.75,3.76
1630,11,124,0,1,0,26.5,2,6,0.5,0.0,0.81,-0.61,0.2,42.87,11.32,8.66,5.45,4.68,3.22,6.3,4.21
1631,124,11,1,0,1,26.857142857142858,4,3,0.6,0.5,-4.26,3.48,-0.78,37.88,7.6,7.82,4.89,5.71,2.65,6.63,3.64
1632,12,39,0,1,1,21.428571428571427,3,4,0.5,0.3333333333333333,-2.87,0.13,-2.74,37.7,16.58,9.0,6.45,5.21,3.56,6.87,4.92
